entry_id,entry_date,debit,credit,description,entry_type
1,2025-06-12,3115.29,,Loan Loss Expense to Provision for Loan Losses,Provisioning
2,2025-06-12,,3115.29,Loan Loss Expense to Provision for Loan Losses,Provisioning
3,2025-06-03,5652.95,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
4,2025-06-03,,5652.95,Credit Card Receivable to Customer Loan Account,PaymentProcessing
5,2025-06-12,2947.41,,Loan Loss Expense to Provision for Loan Losses,Provisioning
6,2025-06-12,,2947.41,Loan Loss Expense to Provision for Loan Losses,Provisioning
7,2025-06-07,2651.84,,Customer Account to Advisory Fee Income,FeeIncome
8,2025-06-07,,2651.84,Customer Account to Advisory Fee Income,FeeIncome
9,2025-06-04,1566.15,,Cash on Hand to Customer Deposit Account,CustomerTransaction
10,2025-06-04,,1566.15,Cash on Hand to Customer Deposit Account,CustomerTransaction
11,2025-06-01,10601.75,,Interest Receivable to Interest Income,InterestAccrual
12,2025-06-01,,10601.75,Interest Receivable to Interest Income,InterestAccrual
13,2025-06-11,4777.92,,Customer Account to Advisory Fee Income,FeeIncome
14,2025-06-11,,4777.92,Customer Account to Advisory Fee Income,FeeIncome
15,2025-06-04,11353.89,,Loan Loss Expense to Provision for Loan Losses,Provisioning
16,2025-06-04,,11353.89,Loan Loss Expense to Provision for Loan Losses,Provisioning
17,2025-06-13,12196.05,,Trading Securities to Settlement Payable,SecuritiesTrading
18,2025-06-13,,12196.05,Trading Securities to Settlement Payable,SecuritiesTrading
19,2025-06-03,15417.34,,Cash on Hand to Customer Deposit Account,CustomerTransaction
20,2025-06-03,,15417.34,Cash on Hand to Customer Deposit Account,CustomerTransaction
21,2025-06-05,9029.67,,Loan Loss Expense to Provision for Loan Losses,Provisioning
22,2025-06-05,,9029.67,Loan Loss Expense to Provision for Loan Losses,Provisioning
23,2025-06-13,5090.96,,Interest Receivable to Interest Income,InterestAccrual
24,2025-06-13,,5090.96,Interest Receivable to Interest Income,InterestAccrual
25,2025-06-07,2942.0,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
26,2025-06-07,,2942.0,Credit Card Receivable to Customer Loan Account,PaymentProcessing
27,2025-06-06,7820.61,,Cash on Hand to Customer Deposit Account,CustomerTransaction
28,2025-06-06,,7820.61,Cash on Hand to Customer Deposit Account,CustomerTransaction
29,2025-06-01,6025.9,,Customer Account to Advisory Fee Income,FeeIncome
30,2025-06-01,,6025.9,Customer Account to Advisory Fee Income,FeeIncome
31,2025-06-02,9729.07,,Loan Loss Expense to Provision for Loan Losses,Provisioning
32,2025-06-02,,9729.07,Loan Loss Expense to Provision for Loan Losses,Provisioning
33,2025-06-05,2497.2,,Trading Securities to Settlement Payable,SecuritiesTrading
34,2025-06-05,,2497.2,Trading Securities to Settlement Payable,SecuritiesTrading
35,2025-06-14,12751.88,,Loan Loss Expense to Provision for Loan Losses,Provisioning
36,2025-06-14,,12751.88,Loan Loss Expense to Provision for Loan Losses,Provisioning
37,2025-06-12,11969.69,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
38,2025-06-12,,11969.69,Credit Card Receivable to Customer Loan Account,PaymentProcessing
39,2025-06-04,1870.66,,Cash on Hand to Customer Deposit Account,CustomerTransaction
40,2025-06-04,,1870.66,Cash on Hand to Customer Deposit Account,CustomerTransaction
41,2025-06-14,19719.21,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
42,2025-06-14,,19719.21,Credit Card Receivable to Customer Loan Account,PaymentProcessing
43,2025-06-07,17463.19,,Interest Receivable to Interest Income,InterestAccrual
44,2025-06-07,,17463.19,Interest Receivable to Interest Income,InterestAccrual
45,2025-06-14,9614.8,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
46,2025-06-14,,9614.8,Credit Card Receivable to Customer Loan Account,PaymentProcessing
47,2025-06-06,4090.43,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
48,2025-06-06,,4090.43,Credit Card Receivable to Customer Loan Account,PaymentProcessing
49,2025-06-12,13733.33,,Interest Receivable to Interest Income,InterestAccrual
50,2025-06-12,,13733.33,Interest Receivable to Interest Income,InterestAccrual
51,2025-06-10,13312.67,,Loan Loss Expense to Provision for Loan Losses,Provisioning
52,2025-06-10,,13312.67,Loan Loss Expense to Provision for Loan Losses,Provisioning
53,2025-06-12,4251.63,,Loan Loss Expense to Provision for Loan Losses,Provisioning
54,2025-06-12,,4251.63,Loan Loss Expense to Provision for Loan Losses,Provisioning
55,2025-06-07,4104.65,,Interest Receivable to Interest Income,InterestAccrual
56,2025-06-07,,4104.65,Interest Receivable to Interest Income,InterestAccrual
57,2025-06-11,19800.94,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
58,2025-06-11,,19800.94,Credit Card Receivable to Customer Loan Account,PaymentProcessing
59,2025-06-11,11582.05,,Loan Loss Expense to Provision for Loan Losses,Provisioning
60,2025-06-11,,11582.05,Loan Loss Expense to Provision for Loan Losses,Provisioning
61,2025-06-13,17014.19,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
62,2025-06-13,,17014.19,Credit Card Receivable to Customer Loan Account,PaymentProcessing
63,2025-06-01,5351.91,,Cash on Hand to Customer Deposit Account,CustomerTransaction
64,2025-06-01,,5351.91,Cash on Hand to Customer Deposit Account,CustomerTransaction
65,2025-06-02,8622.13,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
66,2025-06-02,,8622.13,Credit Card Receivable to Customer Loan Account,PaymentProcessing
67,2025-06-10,18349.59,,Interest Receivable to Interest Income,InterestAccrual
68,2025-06-10,,18349.59,Interest Receivable to Interest Income,InterestAccrual
69,2025-06-11,6978.88,,Loan Loss Expense to Provision for Loan Losses,Provisioning
70,2025-06-11,,6978.88,Loan Loss Expense to Provision for Loan Losses,Provisioning
71,2025-06-15,8517.01,,Trading Securities to Settlement Payable,SecuritiesTrading
72,2025-06-15,,8517.01,Trading Securities to Settlement Payable,SecuritiesTrading
73,2025-06-05,9718.19,,Loan Loss Expense to Provision for Loan Losses,Provisioning
74,2025-06-05,,9718.19,Loan Loss Expense to Provision for Loan Losses,Provisioning
75,2025-06-09,5685.92,,Interest Receivable to Interest Income,InterestAccrual
76,2025-06-09,,5685.92,Interest Receivable to Interest Income,InterestAccrual
77,2025-06-10,5992.09,,Customer Account to Advisory Fee Income,FeeIncome
78,2025-06-10,,5992.09,Customer Account to Advisory Fee Income,FeeIncome
79,2025-06-07,18058.63,,Trading Securities to Settlement Payable,SecuritiesTrading
80,2025-06-07,,18058.63,Trading Securities to Settlement Payable,SecuritiesTrading
81,2025-06-03,5167.09,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
82,2025-06-03,,5167.09,Credit Card Receivable to Customer Loan Account,PaymentProcessing
83,2025-06-13,10376.8,,Customer Account to Advisory Fee Income,FeeIncome
84,2025-06-13,,10376.8,Customer Account to Advisory Fee Income,FeeIncome
85,2025-06-03,17360.96,,Cash on Hand to Customer Deposit Account,CustomerTransaction
86,2025-06-03,,17360.96,Cash on Hand to Customer Deposit Account,CustomerTransaction
87,2025-06-11,4039.66,,Loan Loss Expense to Provision for Loan Losses,Provisioning
88,2025-06-11,,4039.66,Loan Loss Expense to Provision for Loan Losses,Provisioning
89,2025-06-07,12331.77,,Trading Securities to Settlement Payable,SecuritiesTrading
90,2025-06-07,,12331.77,Trading Securities to Settlement Payable,SecuritiesTrading
91,2025-06-08,12321.88,,Trading Securities to Settlement Payable,SecuritiesTrading
92,2025-06-08,,12321.88,Trading Securities to Settlement Payable,SecuritiesTrading
93,2025-06-09,5776.87,,Customer Account to Advisory Fee Income,FeeIncome
94,2025-06-09,,5776.87,Customer Account to Advisory Fee Income,FeeIncome
95,2025-06-02,13925.38,,Cash on Hand to Customer Deposit Account,CustomerTransaction
96,2025-06-02,,13925.38,Cash on Hand to Customer Deposit Account,CustomerTransaction
97,2025-06-13,17810.98,,Loan Loss Expense to Provision for Loan Losses,Provisioning
98,2025-06-13,,17810.98,Loan Loss Expense to Provision for Loan Losses,Provisioning
99,2025-06-06,15603.38,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
100,2025-06-06,,15603.38,Credit Card Receivable to Customer Loan Account,PaymentProcessing
101,2025-06-03,6576.5,,Cash on Hand to Customer Deposit Account,CustomerTransaction
102,2025-06-03,,6576.5,Cash on Hand to Customer Deposit Account,CustomerTransaction
103,2025-06-12,1061.66,,Trading Securities to Settlement Payable,SecuritiesTrading
104,2025-06-12,,1061.66,Trading Securities to Settlement Payable,SecuritiesTrading
105,2025-06-09,6004.39,,Loan Loss Expense to Provision for Loan Losses,Provisioning
106,2025-06-09,,6004.39,Loan Loss Expense to Provision for Loan Losses,Provisioning
107,2025-06-02,10645.95,,Interest Receivable to Interest Income,InterestAccrual
108,2025-06-02,,10645.95,Interest Receivable to Interest Income,InterestAccrual
109,2025-06-11,6670.45,,Loan Loss Expense to Provision for Loan Losses,Provisioning
110,2025-06-11,,6670.45,Loan Loss Expense to Provision for Loan Losses,Provisioning
111,2025-06-03,12570.43,,Customer Account to Advisory Fee Income,FeeIncome
112,2025-06-03,,12570.43,Customer Account to Advisory Fee Income,FeeIncome
113,2025-06-09,15487.71,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
114,2025-06-09,,15487.71,Credit Card Receivable to Customer Loan Account,PaymentProcessing
115,2025-06-10,18451.38,,Customer Account to Advisory Fee Income,FeeIncome
116,2025-06-10,,18451.38,Customer Account to Advisory Fee Income,FeeIncome
117,2025-06-02,10283.51,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
118,2025-06-02,,10283.51,Credit Card Receivable to Customer Loan Account,PaymentProcessing
119,2025-06-14,17695.72,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
120,2025-06-14,,17695.72,Credit Card Receivable to Customer Loan Account,PaymentProcessing
121,2025-06-04,5549.59,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
122,2025-06-04,,5549.59,Credit Card Receivable to Customer Loan Account,PaymentProcessing
123,2025-06-02,18992.04,,Customer Account to Advisory Fee Income,FeeIncome
124,2025-06-02,,18992.04,Customer Account to Advisory Fee Income,FeeIncome
125,2025-06-02,10233.82,,Loan Loss Expense to Provision for Loan Losses,Provisioning
126,2025-06-02,,10233.82,Loan Loss Expense to Provision for Loan Losses,Provisioning
127,2025-06-03,15550.85,,Customer Account to Advisory Fee Income,FeeIncome
128,2025-06-03,,15550.85,Customer Account to Advisory Fee Income,FeeIncome
129,2025-06-09,10030.37,,Loan Loss Expense to Provision for Loan Losses,Provisioning
130,2025-06-09,,10030.37,Loan Loss Expense to Provision for Loan Losses,Provisioning
