entry_id,entry_date,account_name,account_code,debit,credit,description,entry_type
1,2025-06-12,Loan Loss Expense,5100,3115.29,,Loan Loss Expense to Provision for Loan Losses,Provisioning
2,2025-06-12,Provision for Loan Losses,2600,,3115.29,Loan Loss Expense to Provision for Loan Losses,Provisioning
3,2025-06-03,Credit Card Receivable,1320,5652.95,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
4,2025-06-03,Customer Loan Account,2200,,5652.95,Credit Card Receivable to Customer Loan Account,PaymentProcessing
5,2025-06-12,Loan Loss Expense,5100,2947.41,,Loan Loss Expense to Provision for Loan Losses,Provisioning
6,2025-06-12,Provision for Loan Losses,2600,,2947.41,Loan Loss Expense to Provision for Loan Losses,Provisioning
7,2025-06-07,Customer Account,2100,2651.84,,Customer Account to Advisory Fee Income,FeeIncome
8,2025-06-07,Advisory Fee Income,4200,,2651.84,Customer Account to Advisory Fee Income,FeeIncome
9,2025-06-04,Cash on Hand,1010,1566.15,,Cash on Hand to Customer Deposit Account,CustomerTransaction
10,2025-06-04,Customer Deposit Account,2100,,1566.15,Cash on Hand to Customer Deposit Account,CustomerTransaction
11,2025-06-01,Interest Receivable,1310,10601.75,,Interest Receivable to Interest Income,InterestAccrual
12,2025-06-01,Interest Income,4100,,10601.75,Interest Receivable to Interest Income,InterestAccrual
13,2025-06-11,Customer Account,2100,4777.92,,Customer Account to Advisory Fee Income,FeeIncome
14,2025-06-11,Advisory Fee Income,4200,,4777.92,Customer Account to Advisory Fee Income,FeeIncome
15,2025-06-04,Loan Loss Expense,5100,11353.89,,Loan Loss Expense to Provision for Loan Losses,Provisioning
16,2025-06-04,Provision for Loan Losses,2600,,11353.89,Loan Loss Expense to Provision for Loan Losses,Provisioning
17,2025-06-13,Trading Securities,1400,12196.05,,Trading Securities to Settlement Payable,SecuritiesTrading
18,2025-06-13,Settlement Payable,2400,,12196.05,Trading Securities to Settlement Payable,SecuritiesTrading
19,2025-06-03,Cash on Hand,1010,15417.34,,Cash on Hand to Customer Deposit Account,CustomerTransaction
20,2025-06-03,Customer Deposit Account,2100,,15417.34,Cash on Hand to Customer Deposit Account,CustomerTransaction
21,2025-06-05,Loan Loss Expense,5100,9029.67,,Loan Loss Expense to Provision for Loan Losses,Provisioning
22,2025-06-05,Provision for Loan Losses,2600,,9029.67,Loan Loss Expense to Provision for Loan Losses,Provisioning
23,2025-06-13,Interest Receivable,1310,5090.96,,Interest Receivable to Interest Income,InterestAccrual
24,2025-06-13,Interest Income,4100,,5090.96,Interest Receivable to Interest Income,InterestAccrual
25,2025-06-07,Credit Card Receivable,1320,2942.0,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
26,2025-06-07,Customer Loan Account,2200,,2942.0,Credit Card Receivable to Customer Loan Account,PaymentProcessing
27,2025-06-06,Cash on Hand,1010,7820.61,,Cash on Hand to Customer Deposit Account,CustomerTransaction
28,2025-06-06,Customer Deposit Account,2100,,7820.61,Cash on Hand to Customer Deposit Account,CustomerTransaction
29,2025-06-01,Customer Account,2100,6025.9,,Customer Account to Advisory Fee Income,FeeIncome
30,2025-06-01,Advisory Fee Income,4200,,6025.9,Customer Account to Advisory Fee Income,FeeIncome
31,2025-06-02,Loan Loss Expense,5100,9729.07,,Loan Loss Expense to Provision for Loan Losses,Provisioning
32,2025-06-02,Provision for Loan Losses,2600,,9729.07,Loan Loss Expense to Provision for Loan Losses,Provisioning
33,2025-06-05,Trading Securities,1400,2497.2,,Trading Securities to Settlement Payable,SecuritiesTrading
34,2025-06-05,Settlement Payable,2400,,2497.2,Trading Securities to Settlement Payable,SecuritiesTrading
35,2025-06-14,Loan Loss Expense,5100,12751.88,,Loan Loss Expense to Provision for Loan Losses,Provisioning
36,2025-06-14,Provision for Loan Losses,2600,,12751.88,Loan Loss Expense to Provision for Loan Losses,Provisioning
37,2025-06-12,Credit Card Receivable,1320,11969.69,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
38,2025-06-12,Customer Loan Account,2200,,11969.69,Credit Card Receivable to Customer Loan Account,PaymentProcessing
39,2025-06-04,Cash on Hand,1010,1870.66,,Cash on Hand to Customer Deposit Account,CustomerTransaction
40,2025-06-04,Customer Deposit Account,2100,,1870.66,Cash on Hand to Customer Deposit Account,CustomerTransaction
41,2025-06-14,Credit Card Receivable,1320,19719.21,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
42,2025-06-14,Customer Loan Account,2200,,19719.21,Credit Card Receivable to Customer Loan Account,PaymentProcessing
43,2025-06-07,Interest Receivable,1310,17463.19,,Interest Receivable to Interest Income,InterestAccrual
44,2025-06-07,Interest Income,4100,,17463.19,Interest Receivable to Interest Income,InterestAccrual
45,2025-06-14,Credit Card Receivable,1320,9614.8,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
46,2025-06-14,Customer Loan Account,2200,,9614.8,Credit Card Receivable to Customer Loan Account,PaymentProcessing
47,2025-06-06,Credit Card Receivable,1320,4090.43,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
48,2025-06-06,Customer Loan Account,2200,,4090.43,Credit Card Receivable to Customer Loan Account,PaymentProcessing
49,2025-06-12,Interest Receivable,1310,13733.33,,Interest Receivable to Interest Income,InterestAccrual
50,2025-06-12,Interest Income,4100,,13733.33,Interest Receivable to Interest Income,InterestAccrual
51,2025-06-10,Loan Loss Expense,5100,13312.67,,Loan Loss Expense to Provision for Loan Losses,Provisioning
52,2025-06-10,Provision for Loan Losses,2600,,13312.67,Loan Loss Expense to Provision for Loan Losses,Provisioning
53,2025-06-12,Loan Loss Expense,5100,4251.63,,Loan Loss Expense to Provision for Loan Losses,Provisioning
54,2025-06-12,Provision for Loan Losses,2600,,4251.63,Loan Loss Expense to Provision for Loan Losses,Provisioning
55,2025-06-07,Interest Receivable,1310,4104.65,,Interest Receivable to Interest Income,InterestAccrual
56,2025-06-07,Interest Income,4100,,4104.65,Interest Receivable to Interest Income,InterestAccrual
57,2025-06-11,Credit Card Receivable,1320,19800.94,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
58,2025-06-11,Customer Loan Account,2200,,19800.94,Credit Card Receivable to Customer Loan Account,PaymentProcessing
59,2025-06-11,Loan Loss Expense,5100,11582.05,,Loan Loss Expense to Provision for Loan Losses,Provisioning
60,2025-06-11,Provision for Loan Losses,2600,,11582.05,Loan Loss Expense to Provision for Loan Losses,Provisioning
61,2025-06-13,Credit Card Receivable,1320,17014.19,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
62,2025-06-13,Customer Loan Account,2200,,17014.19,Credit Card Receivable to Customer Loan Account,PaymentProcessing
63,2025-06-01,Cash on Hand,1010,5351.91,,Cash on Hand to Customer Deposit Account,CustomerTransaction
64,2025-06-01,Customer Deposit Account,2100,,5351.91,Cash on Hand to Customer Deposit Account,CustomerTransaction
65,2025-06-02,Credit Card Receivable,1320,8622.13,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
66,2025-06-02,Customer Loan Account,2200,,8622.13,Credit Card Receivable to Customer Loan Account,PaymentProcessing
67,2025-06-10,Interest Receivable,1310,18349.59,,Interest Receivable to Interest Income,InterestAccrual
68,2025-06-10,Interest Income,4100,,18349.59,Interest Receivable to Interest Income,InterestAccrual
69,2025-06-11,Loan Loss Expense,5100,6978.88,,Loan Loss Expense to Provision for Loan Losses,Provisioning
70,2025-06-11,Provision for Loan Losses,2600,,6978.88,Loan Loss Expense to Provision for Loan Losses,Provisioning
71,2025-06-15,Trading Securities,1400,8517.01,,Trading Securities to Settlement Payable,SecuritiesTrading
72,2025-06-15,Settlement Payable,2400,,8517.01,Trading Securities to Settlement Payable,SecuritiesTrading
73,2025-06-05,Loan Loss Expense,5100,9718.19,,Loan Loss Expense to Provision for Loan Losses,Provisioning
74,2025-06-05,Provision for Loan Losses,2600,,9718.19,Loan Loss Expense to Provision for Loan Losses,Provisioning
75,2025-06-09,Interest Receivable,1310,5685.92,,Interest Receivable to Interest Income,InterestAccrual
76,2025-06-09,Interest Income,4100,,5685.92,Interest Receivable to Interest Income,InterestAccrual
77,2025-06-10,Customer Account,2100,5992.09,,Customer Account to Advisory Fee Income,FeeIncome
78,2025-06-10,Advisory Fee Income,4200,,5992.09,Customer Account to Advisory Fee Income,FeeIncome
79,2025-06-07,Trading Securities,1400,18058.63,,Trading Securities to Settlement Payable,SecuritiesTrading
80,2025-06-07,Settlement Payable,2400,,18058.63,Trading Securities to Settlement Payable,SecuritiesTrading
81,2025-06-03,Credit Card Receivable,1320,5167.09,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
82,2025-06-03,Customer Loan Account,2200,,5167.09,Credit Card Receivable to Customer Loan Account,PaymentProcessing
83,2025-06-13,Customer Account,2100,10376.8,,Customer Account to Advisory Fee Income,FeeIncome
84,2025-06-13,Advisory Fee Income,4200,,10376.8,Customer Account to Advisory Fee Income,FeeIncome
85,2025-06-03,Cash on Hand,1010,17360.96,,Cash on Hand to Customer Deposit Account,CustomerTransaction
86,2025-06-03,Customer Deposit Account,2100,,17360.96,Cash on Hand to Customer Deposit Account,CustomerTransaction
87,2025-06-11,Loan Loss Expense,5100,4039.66,,Loan Loss Expense to Provision for Loan Losses,Provisioning
88,2025-06-11,Provision for Loan Losses,2600,,4039.66,Loan Loss Expense to Provision for Loan Losses,Provisioning
89,2025-06-07,Trading Securities,1400,12331.77,,Trading Securities to Settlement Payable,SecuritiesTrading
90,2025-06-07,Settlement Payable,2400,,12331.77,Trading Securities to Settlement Payable,SecuritiesTrading
91,2025-06-08,Trading Securities,1400,12321.88,,Trading Securities to Settlement Payable,SecuritiesTrading
92,2025-06-08,Settlement Payable,2400,,12321.88,Trading Securities to Settlement Payable,SecuritiesTrading
93,2025-06-09,Customer Account,2100,5776.87,,Customer Account to Advisory Fee Income,FeeIncome
